Date,Mid
13 11 2020,1.12753
12 11 2020,1.12208
11 11 2020,1.12515
10 11 2020,1.12414
9 11 2020,1.11678
6 11 2020,1.11291
5 11 2020,1.1131
4 11 2020,1.11598
3 11 2020,1.1191
2 11 2020,1.12043
30 10 2020,1.11815
29 10 2020,1.11501
28 10 2020,1.11604
27 10 2020,1.11655
26 10 2020,1.11563
23 10 2020,1.11736
22 10 2020,1.12008
21 10 2020,1.12033
20 10 2020,1.12216
19 10 2020,1.12329
16 10 2020,1.12138
15 10 2020,1.11909
14 10 2020,1.11912
13 10 2020,1.1198
12 10 2020,1.12007
9 10 2020,1.11714
8 10 2020,1.11953
7 10 2020,1.12145
6 10 2020,1.11854
5 10 2020,1.11429
2 10 2020,1.11309
1 10 2020,1.11519
30 09 2020,1.12268
29 09 2020,1.12566
28 09 2020,1.12408
25 09 2020,1.12279
24 09 2020,1.12944
23 09 2020,1.12804
22 09 2020,1.1303
21 09 2020,1.12976
18 09 2020,1.12513
17 09 2020,1.12731
16 09 2020,1.12612
15 09 2020,1.12616
14 09 2020,1.12142
11 09 2020,1.12199
10 09 2020,1.1232
9 09 2020,1.1204
8 09 2020,1.12122
7 09 2020,1.12179
4 09 2020,1.12211
3 09 2020,1.12435
2 09 2020,1.12654
1 09 2020,1.13119
31 08 2020,1.13004
28 08 2020,1.13734
27 08 2020,1.1413
26 08 2020,1.13507
25 08 2020,1.13388
24 08 2020,1.1324
21 08 2020,1.13034
20 08 2020,1.13268
19 08 2020,1.12861
18 08 2020,1.1244
17 08 2020,1.12311
14 08 2020,1.11929
13 08 2020,1.13061
12 08 2020,1.13073
11 08 2020,1.13394
10 08 2020,1.13633
7 08 2020,1.13704
6 08 2020,1.13693
5 08 2020,1.13888
4 08 2020,1.13568
3 08 2020,1.13319
31 07 2020,1.13333
30 07 2020,1.13359
29 07 2020,1.134
28 07 2020,1.13081
27 07 2020,1.12925
24 07 2020,1.12947
23 07 2020,1.12602
22 07 2020,1.13251
21 07 2020,1.12754
20 07 2020,1.13207
17 07 2020,1.1339
16 07 2020,1.13618
15 07 2020,1.14054
14 07 2020,1.14353
13 07 2020,1.14547
10 07 2020,1.14467
9 07 2020,1.14786
8 07 2020,1.14307
7 07 2020,1.14271
6 07 2020,1.14032
3 07 2020,1.1302
2 07 2020,1.13808
1 07 2020,1.13595
30 06 2020,1.13658
29 06 2020,1.13614
26 06 2020,1.1388
25 06 2020,1.13911
24 06 2020,1.14121
23 06 2020,1.14679
22 06 2020,1.14656
19 06 2020,1.14994
18 06 2020,1.15417
17 06 2020,1.14406
16 06 2020,1.1474
