Date,Mid
19 12 2019,53.608
18 12 2019,53.489
17 12 2019,53.393
16 12 2019,53.349
13 12 2019,53.451
12 12 2019,53.417
11 12 2019,53.405
10 12 2019,53.473
9 12 2019,53.371
6 12 2019,53.502
5 12 2019,53.573
4 12 2019,53.661
3 12 2019,53.505
2 12 2019,53.285
29 11 2019,53.381
28 11 2019,53.317
27 11 2019,53.32
26 11 2019,53.458
25 11 2019,53.455
22 11 2019,53.248
21 11 2019,53.221
20 11 2019,53.047
19 11 2019,53.149
18 11 2019,52.903
15 11 2019,52.581
14 11 2019,52.463
13 11 2019,52.395
12 11 2019,52.58
11 11 2019,52.525
8 11 2019,52.616
7 11 2019,52.542
6 11 2019,52.705
5 11 2019,52.596
4 11 2019,52.654
1 11 2019,52.516
31 10 2019,52.511
30 10 2019,52.28
29 10 2019,52.298
28 10 2019,52.401
25 10 2019,52.258
24 10 2019,52.144
23 10 2019,52.625
22 10 2019,52.51
21 10 2019,52.459
18 10 2019,52.017
17 10 2019,51.983
16 10 2019,51.969
15 10 2019,51.959
14 10 2019,51.672
11 10 2019,51.765
10 10 2019,51.916
9 10 2019,51.799
8 10 2019,51.647
7 10 2019,51.63
4 10 2019,51.977
3 10 2019,52.283
2 10 2019,52.321
1 10 2019,52.486
30 09 2019,52.227
27 09 2019,52.132
26 09 2019,52.108
25 09 2019,52.132
24 09 2019,52.085
23 09 2019,51.956
20 09 2019,52.048
19 09 2019,52.01
18 09 2019,51.884
17 09 2019,51.999
16 09 2019,52.044
13 09 2019,52.001
12 09 2019,52.097
11 09 2019,52.059
10 09 2019,52.299
9 09 2019,52.173
6 09 2019,52.217
5 09 2019,52.284
4 09 2019,52.446
3 09 2019,52.256
2 09 2019,52.403
30 08 2019,52.381
29 08 2019,52.121
28 08 2019,52.135
27 08 2019,52.082
26 08 2019,51.921
23 08 2019,52.145
22 08 2019,52.041
21 08 2019,51.969
20 08 2019,52.004
19 08 2019,51.997
16 08 2019,52.142
15 08 2019,52.043
14 08 2019,51.907
13 08 2019,51.902
12 08 2019,51.939
9 08 2019,51.822
8 08 2019,52.109
7 08 2019,52.277
6 08 2019,51.914
5 08 2019,51.774
2 08 2019,51.88
1 08 2019,52.057
31 07 2019,52.26
30 07 2019,52.296
29 07 2019,52.309
26 07 2019,52.249
25 07 2019,52.164
24 07 2019,52.015
23 07 2019,51.957
22 07 2019,51.66
19 07 2019,51.735
18 07 2019,51.197
17 07 2019,51.492
16 07 2019,51.47
15 07 2019,51.4725
12 07 2019,51.611
11 07 2019,51.407
10 07 2019,51.494
9 07 2019,51.406
8 07 2019,50.944
5 07 2019,50.908
4 07 2019,50.846
3 07 2019,51.099
2 07 2019,51.009
1 07 2019,50.751
28 06 2019,50.775
27 06 2019,50.75
26 06 2019,50.587
25 06 2019,50.385
24 06 2019,50.429
21 06 2019,50.333
20 06 2019,50.566
19 06 2019,50.366
18 06 2019,50.19
17 06 2019,49.807
14 06 2019,49.868
13 06 2019,49.822
12 06 2019,49.9
11 06 2019,50.023
10 06 2019,49.964
7 06 2019,49.884
6 06 2019,49.841
